class,precision,recall,f1_score,support
27,0.0,0.0,0.0,1
28,0.0,0.0,0.0,2
29,0.0,0.0,0.0,26
30,0.0,0.0,0.0,42
31,0.0,0.0,0.0,10
32,0.0,0.0,0.0,4
33,0.0,0.0,0.0,16
34,0.0,0.0,0.0,9
35,0.0,0.0,0.0,3
36,0.0,0.0,0.0,21
37,0.0,0.0,0.0,5
macro,0.1872377876226027,0.19066235452661803,0.1654272587728424,0
fold 6,,,,
0,0.9333,0.9719,0.9522,8835
1,0.0,0.0,0.0,48
2,0.9717,0.9772,0.9745,703
3,0.0,0.0,0.0,9
4,0.7642,1.0,0.8663,81
5,0.0,0.0,0.0,3
6,0.0,0.0,0.0,53
7,0.0,0.0,0.0,6
8,0.0,0.0,0.0,2
9,0.0,0.0,0.0,18
10,0.5898,0.916,0.7176,631
11,0.0,0.0,0.0,18
12,0.1053,0.5714,0.1778,21
13,0.0,0.0,0.0,22
14,0.7626,0.8281,0.794,128
15,0.9412,0.9957,0.9677,4215
16,0.4876,0.548,0.516,896
17,0.0,0.0,0.0,7
18,0.3469,0.1504,0.2099,113
19,0.1667,0.1149,0.136,148
20,0.25,0.0448,0.0759,134
21,0.3402,0.4074,0.3708,81
22,0.0,0.0,0.0,8
23,0.0,0.0,0.0,3
24,0.0,0.0,0.0,7
25,0.0,0.0,0.0,244
26,0.0,0.0,0.0,389
27,0.0,0.0,0.0,1
28,0.0,0.0,0.0,2
29,0.0,0.0,0.0,20
30,0.0,0.0,0.0,64
31,0.0,0.0,0.0,7
32,0.0,0.0,0.0,4
33,0.0,0.0,0.0,23
34,0.0,0.0,0.0,10
35,0.0,0.0,0.0,6
36,0.0,0.0,0.0,22
37,0.0,0.0,0.0,3
macro,0.1752479073196281,0.1980510950466764,0.17786042933397342,0
fold 7,,,,
0,0.9615,0.9864,0.9738,8835
1,0.0,0.0,0.0,64
2,0.9645,0.9905,0.9773,631
3,0.0,0.0,0.0,7
4,0.9,0.9231,0.9114,78
5,0.0,0.0,0.0,4
6,0.0,0.0,0.0,57
7,0.0,0.0,0.0,5
8,0.0,0.0,0.0,9
9,0.0,0.0,0.0,29
10,0.5839,0.9677,0.7283,651
11,0.0,0.0,0.0,22
12,0.2093,0.8182,0.3333,22
13,0.0,0.0,0.0,21
14,0.8138,0.8551,0.8339,138
15,0.9738,0.9998,0.9866,4126
16,0.431,0.6862,0.5295,956
17,0.0,0.0,0.0,2
18,0.1667,0.0068,0.0132,146
19,0.0862,0.0775,0.0816,129
